device_id,timestamp,temperature,humidity,precipitation_accumulated,wind_speed,wind_gust,wind_direction,illuminance,solar_irradiance,fo_uv,uv_index,precipitation_rate,pressure,model,name,utc_datetime,cell_id,lat,lon,rn
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486400000,25.0,29.0,803.4,1.67,2.04,168.0,11490.0,90.68,87.0,0.0,0.0,982.14,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:00:00,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,1
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486416000,25.0,29.0,803.4,1.8,2.04,257.0,11461.0,90.45,87.0,0.0,0.0,982.14,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:00:16,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,2
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486432000,25.0,29.0,803.4,1.03,1.02,196.0,11439.0,90.28,86.0,0.0,0.0,982.14,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:00:32,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,3
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486448000,25.0,29.0,803.4,0.84,1.02,183.0,11398.0,89.95,86.0,0.0,0.0,982.16,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:00:48,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,4
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486464000,24.9,29.0,803.4,1.48,1.53,169.0,11356.0,89.62,86.0,0.0,0.0,982.16,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:01:04,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,5
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486480000,24.9,29.0,803.4,0.64,1.02,103.0,11323.0,89.36,86.0,0.0,0.0,982.16,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:01:20,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,6
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486496000,25.0,29.0,803.4,0.52,1.02,142.0,11303.0,89.2,85.0,0.0,0.0,982.16,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:01:36,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,7
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486512000,25.0,29.0,803.4,0.52,1.02,75.0,11287.0,89.08,85.0,0.0,0.0,982.16,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:01:52,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,8
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486528000,25.0,29.0,803.4,0.71,1.02,211.0,11262.0,88.88,85.0,0.0,0.0,982.14,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:02:08,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,9
02aa18e0-4f85-11ed-960f-d7d4cf200cc9,1706486544000,25.0,29.0,803.4,1.42,2.04,160.0,11256.0,88.83,85.0,0.0,0.0,982.17,WS1000,Active Hazelnut Pluviometer,2024-01-29 00:02:24,8729a1bb2ffffff,34.29359205572302,-118.71056906998547,10
